   2.0955186e-03   6.2325013e-04   0.0000000e+00   7.5080155e-02   6.2683908e-01   1.1649535e+00   3.7334017e-03
   3.7334017e-03   2.0955186e-03   6.2325013e-04   3.5160690e-01   7.5080155e-02   6.2683908e-01   5.3768470e-03
   5.3768470e-03   3.7334017e-03   2.0955186e-03  -6.9651254e-01   3.5160690e-01   7.5080155e-02   6.6010357e-03
   6.6010357e-03   5.3768470e-03   3.7334017e-03   1.6961425e+00  -6.9651254e-01   3.5160690e-01   8.2007187e-03
   8.2007187e-03   6.6010357e-03   5.3768470e-03   5.9059778e-02   1.6961425e+00  -6.9651254e-01   1.0470377e-02
   1.0470377e-02   8.2007187e-03   6.6010357e-03   1.7970718e+00   5.9059778e-02   1.6961425e+00   1.3410895e-02
   1.3410895e-02   1.0470377e-02   8.2007187e-03   2.6406853e-01   1.7970718e+00   5.9059778e-02   1.6996182e-02
   1.6996182e-02   1.3410895e-02   1.0470377e-02   8.7167329e-01   2.6406853e-01   1.7970718e+00   2.0675122e-02
   2.0675122e-02   1.6996182e-02   1.3410895e-02  -1.4461715e+00   8.7167329e-01   2.6406853e-01   2.3496088e-02
   2.3496088e-02   2.0675122e-02   1.6996182e-02  -7.0116535e-01  -1.4461715e+00   8.7167329e-01   2.4775593e-02
   2.4775593e-02   2.3496088e-02   2.0675122e-02   1.2459821e+00  -7.0116535e-01  -1.4461715e+00   2.6131043e-02
   2.6131043e-02   2.4775593e-02   2.3496088e-02  -6.3897700e-01   1.2459821e+00  -7.0116535e-01   2.7536549e-02
   2.7536549e-02   2.6131043e-02   2.4775593e-02   5.7735022e-01  -6.3897700e-01   1.2459821e+00   2.8670038e-02
   2.8670038e-02   2.7536549e-02   2.6131043e-02  -3.6002963e-01   5.7735022e-01  -6.3897700e-01   2.9684418e-02
   2.9684418e-02   2.8670038e-02   2.7536549e-02  -1.3557629e-01  -3.6002963e-01   5.7735022e-01   3.0234206e-02
   3.0234206e-02   2.9684418e-02   2.8670038e-02  -1.3493385e+00  -1.3557629e-01  -3.6002963e-01   2.9843981e-02
